_a_a_wo_mie_ne_yu_tu_ao	啊啊窝咩呢鱼突熬
_yu_chao_yu_rou_zi_rou_zhi_zou	鱼超鱼柔子柔之走
_yu_fang_yu_rao_zi_rao_zhi_zao	鱼方鱼绕子绕之燥
_yu_zhao_yu_shao_zi_shao_zhi_rao	鱼照鱼少子少之绕
_yu_wang_yu_zao_zi_zao_zhi_yao	鱼王鱼燥子燥之腰
_yu_hao_zi_hao_er_chua_yi_zha	鱼好子好而欻一扎
_zhi_tong_er_a_zi_chu_zi_wa	之通而啊子出子哇
_zhi_kong_yu_gou_zi_du_er_gao	之空鱼钩子独而高
_zhi_chao_zhi_kuo_zi_gao_zhi_kao	之超之扩子高之考
_zi_qiao_zhi_xiao_zi_hua_zi_zu	子桥之肖子花子足
_zhi_wang_yu_jiu_zi_jiu_zhi_qiu	之望鱼酒子酒之求
_zhi_cong_yu_kao_zi_kao_zhi_hao	之从鱼考子考之好
_zhi_zhao_yu_lao_zi_lao_zhi_gao	之照鱼老子老之高
_zhi_fang_yu_qiu_zi_qiu_zhi_shao	之方鱼求子求之少
_zhi_gong_er_ou_zi_shu_er_jia	之功而欧子舒而家
_zi_lu_er_guo_zi_suo_zi_ru	子路而国子索子如
_yu_kong_er_luo_yu_cu_zhi_lun	鱼空而罗鱼粗之伦
_yu_gong_yu_biao_zi_biao_zhi_tiao	鱼功鱼标子标之条
_zi_tong_yu_jiao_yu_kou_zi_ruo	子通鱼娇鱼口子弱
_zi_chua_zhi_huo_zi_ku_zi_cu	子欻之火子哭子粗
_zi_wang_yu_liu_zi_liu_zhi_jiu	子望鱼流子流之酒
_zi_xia_er_ba_zi_mu_zhi_biao	子下而巴子母之标
_zi_chao_yu_tao_zi_tao_zhi_lao	子超鱼涛子涛之老
_zi_gong_yu_tiao_zi_tiao_zhi_you	子功鱼条子条之有
_zi_kong_yu_you_zi_you_zhi_liu	子空鱼有子有之流
_zi_zhao_yu_zou_zi_zou_zhi_tao	子照鱼走子走之涛
_zi_fu_xu_zhong_zi_zhong_zi_guang	子福须中子中子光
_zi_dong_zhi_ne_ci_zhe_si_zhuang	子动之呢此这四壮
_zi_kua_chi_luo_chi_nuo_ci_yong	子跨赤罗赤诺次用
_zhi_de_chi_guo_shi_ze_xu_shou	之得赤国是则须守
_zi_zhu_pi_zhua_pi_gua_yu_cong	子朱皮抓皮瓜鱼从
_zi_lun_mi_hua_mi_wa_xu_zong	子伦米花米瓦须总
_zi_su_mi_chua_qu_zu_li_kua	子苏米欻去足里跨
_nue_ruan_shun_xiong_run_suan_kuang_miu	虐软顺兄润酸狂谬
_zhui_qia_shua_tui_pie_shei_tuan_tei	追掐唰腿撇谁团忒
_jiong_hong_lia_nong_qiong_shuang_tun_piao	炯红俩浓穷爽臀飘
_long_nuan_rong_cuan_hei_lou_hun_luan	龙暖融蹿黑楼昏乱
_zei_chong_kei_miao_dun_chui_kui_nao	贼冲亏喵墩锤亏闹
_kun_niao_dei_cou_dia_cao_sun_cun	昆鸟得凑叼草孙村
_lue_pei_rui_song_xiu_chun_zhun_zuan	掠佩蕊松秀春准钻
_zun_pao_pou_diu_sou_sao_diao_niu	尊抛剖丢擞扫屌牛
_yu_ru_zhei_huang_chuang_si_hu_R	鱼如这黄床司胡R
_er_gong_fei_yu_wen_zi_cuo_R	而公非鱼文字错R
_zhi_le_R_er_nie_R_er_R	之乐R而捏R而R
_zi_gua_R_zhi_weng_R_zi_R	子瓜R之翁R子R
_cui_R_gun_R_yu_R_zhi_R	脆R棍R鱼R之R
_yu_mi_R	鱼米R
