_a_a_wo_mie_gao_nie_ne_shao	啊啊我灭高捏呢少
_er_kan_tei_yu_qi_jie_sen_wei	而看特与齐节森威
_er_han_nei_yu_xi_qie_zhun_dia	而寒内与细切准嗲
_er_zhan_lei_zhi_yu_yue_chun_lia	而战雷之与月春俩
_er_chan_gei_zhi_nv_nue_shun_jia	而禅给之女虐顺家
_er_shan_kei_zhi_lv_lue_run_qia	而山剋之绿略润掐
_er_zan_hei_zi_yu_jue_zun_xia	而赞黑子与决绝下
_er_can_zhei_zi_nv_que_cun_wa	而残这子女确存蛙
_er_san_shei_zi_lv_xue_sun_ei	而三谁子绿雪孙诶
_zhi_yi_fang_dui_zhi_ni_chuang_chui	之一方对之你窗吹
_zhi_bi_wang_tui_zhi_li_shuang_shui	之笔忘退之李双水
_zhi_pi_guang_gui_zhi_ji_yong_rui	之皮光贵之即用瑞
_zhi_mi_kuang_kui_zhi_qi_dong_zui	之米矿亏之起动罪
_zhi_di_huang_hui_zhi_xi_tong_cui	之地黄灰之西通脆
_zhi_ti_zhuang_zhui_zi_yi_nong_sui	之体状追子一浓随
_yu_wo_a_yu_re_a_e_za	与我啊与热啊额扎
_yu_bo_ba_yu_ze_ba_e_ca	与波吧与泽巴额擦
_yu_po_pa_yu_ce_pa_e_sa	与坡爬与策爬额撒
_yu_mo_ma_yu_se_ma_e_ya	与莫麻与色马额呀
_yu_fo_fa_yu_ye_fa_e_dia	与佛发与夜发额嗲
_yu_duo_da_yu_bie_da_e_lia	与多大与别大额俩
_yu_tuo_ta_yu_pie_ta_e_jia	与托塔与撇塔额加
_yu_nuo_na_yu_mie_na_e_qia	与诺那与灭那额掐
_yu_luo_zhun_yu_die_la_e_xia	与罗准与蝶拉额夏
_yu_guo_chun_yu_tie_ga_e_niu	与过春与铁嘎额牛
_yu_kuo_shun_yu_nie_ka_e_liu	与阔顺与捏卡额流
_yu_huo_run_yu_lie_ha_e_jiu	与火润与列哈额酒
_yu_zhuo_zun_yu_jie_zha_e_qiu	与卓尊与结扎额秋
_yu_chuo_cun_yu_qie_cha_e_xiu	与戳存与切查额秀
_yu_shuo_sun_yu_xie_sha_e_zhong	与说孙与写沙额中
_yu_ruo_fang_zi_bi_long_e_chong	与若房子比龙额虫
_yu_zuo_wang_zi_pi_gong_e_rong	与左王子皮功额容
_yu_cuo_guang_zi_mi_kong_e_zong	与错光子密空额总
_yu_suo_kuang_zi_di_hong_e_cong	与索框子地红额从
_zi_ruo_huang_zi_ti_jiong_e_song	自若皇子体窘额送
_zi_zuo_zhuang_zi_ni_qiong_yi_zong	自左庄子你穷以总
_zi_cuo_chuang_zi_li_xiong_yi_cong	自错窗子里汹以从
_zi_suo_shuang_zi_ji_zhong_yi_song	自索双子几中以送
_er_ruo_kong_zi_qi_chong_er_ya	而若空子起虫而压
_zhi_fo_hong_zi_xi_rong_er_dia	之佛红子西容而调
_zhi_ye_a_zi_e_zhun_zhi_duo	之叶啊子额准之多
_zhi_bie_ba_zi_me_chun_zhi_tuo	之别巴子么春之拖
_zhi_pie_pa_zi_de_shun_zhi_nuo	之撇爬子得顺之诺
_zhi_mie_ma_zi_te_run_zhi_luo	之灭马子特润之落
_zhi_die_fa_zi_ne_zun_zhi_guo	之叠发子呢尊之国
_zhi_tie_da_zi_le_cun_zhi_kuo	之铁大子了存之阔
_zhi_nie_ta_zi_ge_sun_zhi_huo	之捏塔子格孙之火
_zhi_lie_na_zi_ke_fang_zhi_e	之列那子可放之额
_zhi_jie_la_zi_he_wang_zhi_me	之结拉子合王之么
_zhi_qie_ga_zi_zhe_guang_zhi_de	之切嘎子着光之得
_zhi_xie_ka_zi_che_kuang_zhi_te	之写卡子车框之特
_zhi_yue_ha_zi_she_huang_zhi_ne	之月哈子舍黄之呢
_zhi_nue_zha_zi_re_zhuang_zhi_le	之虐炸子热装之了
_zhi_lue_cha_zi_ze_chuang_zhi_ge	之掠查子则窗之格
_zhi_zhe_dong_zi_ce_shuang_zhi_ke	之这动子侧双之可
_zhi_che_tong_zi_se_yong_zhi_he	之车童子色用之和
_zhi_she_nong_zi_ye_sha_zhi_ze	之设农子叶沙之则
_zhi_re_long_zi_bie_za_zhi_ce	之热龙子别扎之策
_er_duan_gua_zi_pie_ca_zhi_se	而断瓜子撇擦之色
_er_tuan_kua_zi_mie_sa_zi_lia	而团夸子灭撒子俩
_er_nuan_hua_zi_jie_zong_zi_jia	而暖华子结总子家
_er_luan_zhua_zi_qie_cong_zi_qia	而乱爪子切从子掐
_er_ruan_chua_zi_xie_song_zi_xia	而软欻子写松子下
_er_zuan_shua_zi_die_ya_zi_wa	而钻刷子叠压子哇
_er_cuan_wo_zi_tie_dia_zi_gua	而窜我子铁调子瓜
_er_suan_ye_zi_nie_lia_zi_kua	而酸叶子捏俩子夸
_er_wen_bie_zi_lie_wa_zi_hua	而文别子裂哇子花
_er_dun_pie_er_lao_xia_zi_zhua	而顿撇而老下子抓
_er_tun_mie_er_gao_wa_zi_chua	而吞灭而高哇子刷
_er_lun_yue_er_kao_gua_zi_shua	而轮月而考瓜子刷
_er_ou_a_er_hao_kua_zi_wu	而欧啊而好夸子无
_er_pou_ba_er_zhao_hua_zi_bu	而剖巴而照华子布
_er_mou_pa_er_chao_zhua_zi_pu	而谋爬而超爪子铺
_er_fou_ma_er_shao_chua_zi_mu	而否马而少欻子木
_er_dou_fa_er_rao_shua_zi_fu	而豆发而饶刷子夫
_er_tou_da_er_zao_bo_zi_du	而头大而早波子度
_er_lou_ta_er_cao_po_zi_tu	而楼塔而草破子图
_er_gou_na_er_sao_mo_zi_nu	而狗那而骚墨子奴
_er_kou_la_er_yao_fo_zi_lu	而口拉而要佛子路
_er_hou_ga_er_niao_duo_zi_gu	而候嘎而尿多子古
_er_zhou_ka_er_liao_tuo_zi_ku	而周卡而辽驼子库
_er_chou_ha_er_jiao_nuo_zi_hu	而丑哈而教诺子胡
_er_shou_zha_er_qiao_luo_zi_zhu	而手扎而桥落子竹
_er_rou_cha_er_xiao_guo_zi_chu	而柔茶而小果子处
_er_zou_sha_er_biao_kuo_zi_shu	而走沙而标阔子书
_er_cou_za_er_piao_huo_zi_ru	而凑扎而飘火子入
_er_sou_ca_er_miao_zhuo_zi_zu	而搜擦而妙卓子族
_er_bao_sa_er_diao_chuo_zi_cu	而包撒而调戳子粗
_er_pao_ya_er_tiao_shuo_zi_su	而抛呀而跳说子苏
_er_mao_dia_er_miu_ruo_er_jiu	而毛凋而谬若而酒
_er_dao_lia_er_diu_zuo_er_qiu	而道俩而丢作而球
_er_tao_jia_er_niu_cuo_er_xiu	而桃家而牛错而秀
_er_nao_qia_er_liu_suo_er_ran	而脑恰而流索而燃
_zhi_wu_zui_zhi_lu_hong_zhi_shu	知物最知路红之树
_zhi_bu_cui_zhi_gu_jiong_zhi_ru	知不脆知古窘之入
_zhi_pu_sui_zhi_ku_qiong_zhi_zu	知朴素知库穷之族
_zhi_mu_dong_zhi_hu_xiong_zhi_cu	知木动知虎汹之粗
_zhi_fu_tong_zhi_zhu_zhong_zhi_su	知夫通知竹中之苏
_zhi_du_nong_zhi_chu_chong_er_neng	知度农知出虫而能
_zhi_tu_long_zhi_nu_kong_er_beng	知土龙知奴空而崩
_ye_guang_yi_qiu_er_lia_yi_ma	夜光一秋而俩一马
_ye_kuang_yi_xiu_er_jia_yi_fa	夜框一秀而加一发
_ye_huang_yi_ran_er_qia_yi_da	夜黄一燃而掐一大
_ye_zhuang_yi_duan_er_xia_yi_ta	夜庄一断而下一塔
_ye_chuang_yi_tuan_er_wa_yi_na	夜窗一团而外一那
_ye_shuang_yi_nuan_er_gua_yi_la	夜双一暖而瓜一拉
_ye_yong_yi_luan_er_kua_yi_ga	夜用一乱而夸一嘎
_ye_dong_yi_ruan_er_hua_yi_ka	夜动一软而华一卡
_ye_tong_yi_zuan_er_zhua_yi_ha	夜同一钻而抓一哈
_ye_nong_yi_cuan_er_chua_yi_zha	夜浓一窜而刷一扎
_ye_long_yi_suan_er_shua_yi_cha	夜龙一酸而刷一查
_ye_gong_yi_wen_yi_shun_yi_sha	夜工一文一顺一沙
_ye_kong_yi_dun_yi_run_yi_za	夜空一顿一润一扎
_ye_hong_yi_tun_yi_zun_yi_ca	夜红一吞一尊一擦
_ye_jiong_yi_lun_yi_cun_yi_sa	夜窘一轮一寸一撒
_ye_qiong_yi_gun_yi_sun_yi_ya	夜穷一滚一孙一呀
_ye_xiong_yi_kun_yi_biao_yi_dia	夜汹一困一表一嗲
_ye_zhong_yi_hun_yi_piao_yi_lia	夜中一浑一飘一俩
_ye_chong_yi_zhun_yi_miao_yi_jia	夜虫一准一妙一家
_ye_rong_yi_chun_yi_diao_yi_qia	夜容一春一调一掐
_er_gun_yi_hua_yi_tiao_yi_xia	而滚一花一调一下
_er_kun_yi_zhua_yi_you_yi_wa	而困一抓一游一瓦
_er_hun_yi_chua_yi_miu_yi_gua	而浑一窜一谬一瓜
_er_zhun_yi_shua_yi_diu_yi_kua	而准一刷一丢一夸
_er_wang_er_chun_yu_zong_er_cun	而王而春与宗而存
_er_zong_er_shun_yu_cong_er_sun	而宗而顺与丛而孙
_er_cong_er_run_yu_song_er_fang	而丛而润与松而芳
_er_ei_yu_ei_zi_ei_zhi_ei	而欸与欸子欸之欸
_er_bei_yu_bei_zi_bei_zhi_bei	而北与北子北之北
_er_pei_yu_pei_zi_pei_zhi_pei	而陪与陪子陪之陪
_er_mei_yu_mei_zi_mei_zhi_mei	而美与梅子美之美
_er_fei_yu_fei_zi_fei_zhi_fei	而飞与飞子飞之飞
_er_dei_yu_dei_zi_dei_zhi_dei	而得与得子得之得
_er_tei_yu_tei_zi_tei_zhi_tei	而忒与忒子忒之忒
_er_nei_yu_nei_zi_nei_zhi_nei	而内与内子内之内
_er_lei_yu_lei_zi_lei_zhi_lei	而雷与雷子雷之雷
_er_gei_yu_gei_zi_gei_zhi_gei	而给与给子给之给
_er_kei_yu_kei_zi_kei_zhi_kei	而剋与剋子剋之剋
_er_hei_yu_hei_zi_hei_zhi_hei	而黑与黑子黑之黑
_er_zhei_yu_zhei_zi_zhei_zhi_zhei	而这与这子这之这
_er_shei_yu_shei_zi_shei_zhi_shei	而谁与谁子谁之谁
_er_zei_yu_zei_zi_zei_zhi_zei	而贼与贼子贼之贼
_er_wei_yu_wei_zi_wei_zhi_wei	而为与为子为之为
_er_dui_yu_dui_zi_dui_zhi_dui	而对与对子对之对
_er_tui_yu_tui_zi_tui_zhi_tui	而退与退子退之退
_er_gui_yu_gui_zi_gui_zhi_gui	而归与归子归之归
_er_kui_yu_kui_zi_kui_zhi_kui	而亏与亏子亏之亏
_er_hui_yu_hui_zi_hui_zhi_hui	而会与会子会之会
_er_zhui_yu_zhui_zi_zhui_zhi_zhui	而追与追子追之追
_er_chui_yu_chui_zi_chui_zhi_chui	而吹与吹子吹之吹
_er_shui_yu_shui_zi_shui_zhi_shui	而水与水子水之水
_er_rui_yu_rui_zi_rui_zhi_rui	而瑞与瑞子瑞之瑞
_er_zui_yu_zui_zi_zui_zhi_zui	而醉与醉子醉之醉
_er_cui_yu_cui_zi_cui_zhi_cui	而翠与翠子翠之翠
_er_sui_yu_sui_zi_sui_zhi_sui	而碎与碎子碎之碎
_er_guang_yu_guang_zi_guang_zhi_guang	而光与光子光之光
_er_kuang_yu_kuang_zi_kuang_zhi_kuang	而框与框子框之框
_er_huang_yu_huang_zi_huang_zhi_huang	而黄与黄子黄之黄
_er_zhuang_yu_zhuang_zi_zhuang_zhi_zhuang	而装与装子装之装
_er_chuang_yu_chuang_zi_chuang_zhi_chuang	而窗与窗子窗之窗
_er_shuang_yu_shuang_zi_shuang_zhi_shuang	而双与双子双之双
_er_yong_yu_yong_zi_yong_zhi_yong	而用与用子用之用
_er_dong_yu_dong_zi_dong_zhi_dong	儿动于动子动之动
_er_tong_yu_tong_zi_tong_zhi_tong	儿同于同子同之同
_er_nong_yu_nong_zi_nong_zhi_nong	儿农于农子农之农
_er_long_yu_long_zi_long_zhi_long	儿龙于龙子龙之龙
_er_gong_yu_gong_zi_gong_zhi_gong	儿工于工子工之工
_er_kong_yu_kong_zi_kong_zhi_kong	儿空于空子空之空
_er_hong_yu_hong_zi_hong_zhi_hong	儿红于红子红之红
_er_jiong_yu_jiong_zi_jiong_zhi_jiong	儿窘于窘子窘之窘
_er_qiong_yu_qiong_zi_qiong_zhi_qiong	儿穷于穷子穷之穷
_er_xiong_yu_xiong_zi_xiong_zhi_xiong	儿熊于熊子熊之熊
_er_zhong_yu_zhong_zi_zhong_zhi_zhong	儿中于中子中之中
_er_chong_yu_chong_zi_chong_zhi_chong	儿虫于虫子虫之虫
_er_rong_yu_rong_zi_rong_zhi_rong	儿容于容子容之容
_yu_zhun_yu_biao_zi_biao_zhi_biao	于准于标子标之标
_yu_chun_yu_piao_zi_piao_zhi_piao	于春于飘子飘之飘
_yu_shun_yu_miao_zi_miao_zhi_miao	于顺于苗子苗之苗
_yu_run_yu_diao_zi_diao_zhi_diao	于润于凋子凋之凋
_yu_zun_yu_tiao_zi_tiao_zhi_tiao	于尊于挑子挑之挑
_yu_cun_yu_you_zi_you_zhi_you	于存于有子有之有
_yu_sun_yu_miu_zi_miu_zhi_miu	于孙于谬子谬之谬
_yu_fang_yu_diu_zi_diu_zhi_diu	于方于丢子丢之丢
_yu_wang_yu_niu_zi_niu_zhi_niu	于王于牛子牛之牛
_zi_zhun_yu_liu_zi_liu_zhi_liu	子准于流子流之流
_zi_chun_yu_jiu_zi_jiu_zhi_jiu	子春于酒子酒之酒
_zi_shun_yu_qiu_zi_qiu_zhi_qiu	子顺于球子球之球
_zi_run_yu_xiu_zi_xiu_zhi_xiu	子润于秀子秀之秀
_zi_zun_yu_ran_zi_ran_zhi_ran	子尊于然子然之然
_zi_cun_yu_duan_zi_duan_zhi_duan	子存于段子段之段
_zi_sun_yu_tuan_zi_tuan_zhi_tuan	子孙于团子团之团
_zi_fang_yu_nuan_zi_nuan_zhi_nuan	子方于暖子暖之暖
_zi_wang_yu_luan_zi_luan_zhi_luan	子王于乱子乱之乱
_zhi_zhun_yu_ruan_zi_ruan_zhi_ruan	之准于软子软之软
_zhi_chun_yu_zuan_zi_zuan_zhi_zuan	之春于钻子钻之钻
_zhi_shun_yu_cuan_zi_cuan_zhi_cuan	之顺于窜子窜之窜
_zhi_run_yu_suan_zi_suan_zhi_suan	之润于酸子酸之酸
_zhi_zun_yu_wen_zi_wen_zhi_wen	之尊于文子文之文
_zhi_cun_yu_dun_zi_dun_zhi_dun	之存于顿子顿之顿
_zhi_sun_yu_tun_zi_tun_zhi_tun	之孙于吞子吞之吞
_zhi_fang_yu_lun_zi_lun_zhi_lun	之方于轮子轮之轮
_zhi_wang_yu_gun_zi_gun_zhi_gun	之王于棍子棍之棍
_er_song_yu_kun_zi_kun_zhi_kun	儿松于坤子坤之坤
_er_zun_yu_hun_zi_hun_zhi_hun	儿尊于浑子浑之浑
_yi_shao_yu_shao_zi_shao_zhi_shao	一少于少子少之少
_yi_rao_yu_rao_zi_rao_zhi_rao	一饶于饶子饶之饶
_yi_zao_yu_zao_zi_zao_zhi_zao	一早于早子早之早
_yi_cao_yu_cao_zi_cao_zhi_cao	一草于草子草之草
_yi_sao_yu_sao_zi_sao_zhi_sao	一骚于骚子骚之骚
_yi_yao_yu_yao_zi_yao_zhi_yao	一要于要子要之要
_yi_niao_yu_niao_zi_niao_zhi_niao	一鸟于鸟子鸟之鸟
_yi_liao_yu_liao_zi_liao_zhi_liao	一料于料子料之料
_yi_jiao_yu_jiao_zi_jiao_zhi_jiao	一教于教子教之教
_yi_qiao_yu_qiao_zi_qiao_zhi_qiao	一桥于桥子桥之桥
_yi_xiao_yu_xiao_zi_xiao_zhi_xiao	一小于小子小之小
_yi_ou_yu_ou_zi_ou_zhi_ou	一欧于欧子欧之欧
_yi_beng_yu_beng_zi_beng_zhi_beng	一蹦于蹦子蹦之蹦
_yi_pou_yu_pou_zi_pou_zhi_pou	一剖于剖子剖之剖
_yi_mou_yu_mou_zi_mou_zhi_mou	一某于某子某之某
_yi_fou_yu_fou_zi_fou_zhi_fou	一否于否子否之否
_yi_dou_yu_dou_zi_dou_zhi_dou	一豆于豆子豆之豆
_yi_tou_yu_tou_zi_tou_zhi_tou	一头于头子头之头
_yi_neng_yu_neng_zi_neng_zhi_neng	一能于能子能之能
_yi_lou_yu_lou_zi_lou_zhi_lou	一楼于楼子楼之楼
_yi_gou_yu_gou_zi_gou_zhi_gou	一狗于狗子狗之狗
_yi_kou_yu_kou_zi_kou_zhi_kou	一口于口子口之口
_yi_hou_yu_hou_zi_hou_zhi_hou	一候于候子候之候
_yi_zhou_yu_zhou_zi_zhou_zhi_zhou	一周于周子周之周
_yi_chou_yu_chou_zi_chou_zhi_chou	一抽于抽子抽之抽
_yi_shou_yu_shou_zi_shou_zhi_shou	一收于收子收之收
_yi_rou_yu_rou_zi_rou_zhi_rou	一肉于肉子肉之肉
_yi_zou_yu_zou_zi_zou_zhi_zou	一走于走子走之走
_yi_cou_yu_cou_zi_cou_zhi_cou	一凑于凑子凑之凑
_yi_sou_yu_sou_zi_sou_zhi_sou	一搜于搜子搜之搜
_yu_dao_yu_tao_zi_tao_zhi_tao	于道于桃子桃之桃
_yu_zhao_yu_nao_zi_nao_zhi_nao	于照于脑子脑之脑
_yu_chao_yu_lao_zi_lao_zhi_lao	于超于老子老之老
_zi_zhao_yu_gao_zi_gao_zhi_gao	子照于高子高之高
_zi_chao_yu_kao_zi_kao_zhi_kao	子超于考子考之考
_zhi_zhao_yu_hao_zi_hao_zhi_hao	之照于好子好之好
_zhi_chao_zhi_dang_lou_R_zhi_R	纸钞只当楼R之R
_a_R_wo_R_e_R_ye_R	啊R喔R额R耶R
_ei_R_en_R_eng_R_yi_R	欸R恩R鞥R一R
_u_R_yu_R_er_R_zi_R	乌R与R而R子R
